"","condition","metric","year","lga_code_16","point","lower","upper","se","RSE","EP","ERP"
"1","Coronary heart disease","ASYLL per 100000",2015,50080,989.824572002594,816.124738870419,1163.24272391377,88.8407346658717,8.97540202362635,0.277559523809524,72671.6923076923
"2","Coronary heart disease","ASYLL per 100000",2015,50210,1105.77049905415,931.885381259822,1291.91407765902,91.4058146182103,8.26625549301568,0.764642857142857,150279.692307692
"3","Coronary heart disease","ASYLL per 100000",2015,50250,1172.61158793917,761.285536154615,1675.6882761882,236.614442450914,20.1784158441379,0.721130952380952,23463.0769230769
"4","Coronary heart disease","ASYLL per 100000",2015,50280,886.334967282251,655.504768933378,1136.33083619224,124.105868035922,14.0021405695485,0.12077380952381,27826.6153846154
"5","Coronary heart disease","ASYLL per 100000",2015,50350,1597.344697959,1277.69454053456,1942.47094286759,170.016943029803,10.643722876286,1,30927.0769230769
"6","Coronary heart disease","ASYLL per 100000",2015,50420,1394.471961718,1202.33183464773,1593.11093022624,99.1414336135746,7.10960394581413,0.999940476190476,135014
"7","Coronary heart disease","ASYLL per 100000",2015,50490,1294.07992880529,1078.73864672639,1544.00191695849,120.633803088846,9.32197466351382,0.994047619047619,78813.8461538462
"8","Coronary heart disease","ASYLL per 100000",2015,50560,1030.35125487308,657.348031016406,1471.95195458633,212.157705166263,20.5908134883959,0.476845238095238,3392.61538461538
"9","Coronary heart disease","ASYLL per 100000",2015,50630,1134.65707054762,706.507958603924,1678.09374288382,254.815771230914,22.4575140670417,0.654107142857143,3971.23076923077
"10","Coronary heart disease","ASYLL per 100000",2015,50770,1424.09373431474,954.526730203617,2011.13696370732,275.772627587155,19.3647806280009,0.947738095238095,3353.07692307692
"11","Coronary heart disease","ASYLL per 100000",2015,50840,1144.718244991,805.022088180597,1531.8270699852,187.71594750146,16.3984411293222,0.72077380952381,9149.69230769231
"12","Coronary heart disease","ASYLL per 100000",2015,50910,1495.04175186077,948.362491535357,2174.22894680204,322.123768130053,21.5461386097832,0.956547619047619,1979.53846153846
"13","Coronary heart disease","ASYLL per 100000",2015,50980,1781.00040451484,1311.72019094253,2321.26398837677,259.612219053015,14.5767636208783,0.999880952380952,32889.5384615385
"14","Coronary heart disease","ASYLL per 100000",2015,51080,996.500770636375,564.281004085355,1528.93628384919,250.167083313882,25.1045549271501,0.427857142857143,2326.15384615385
"15","Coronary heart disease","ASYLL per 100000",2015,51120,1228.92215942182,740.180638439274,1818.4030569911,281.866032783601,22.9360363162638,0.768452380952381,1934.61538461538
"16","Coronary heart disease","ASYLL per 100000",2015,51190,1103.97312398538,909.97378673299,1307.070237462,100.996707589057,9.14847521146672,0.737380952380952,64566.6153846154
"17","Coronary heart disease","ASYLL per 100000",2015,51260,975.882386911676,805.783485669701,1154.79227935986,90.1682682890208,9.23966550665717,0.234880952380952,70148.1538461538
"18","Coronary heart disease","ASYLL per 100000",2015,51310,881.340030712438,717.969647565337,1064.00120368704,88.579371100608,10.0505330535144,0.04625,55168.9230769231
"19","Coronary heart disease","ASYLL per 100000",2015,51330,877.702000920235,745.455691471099,1020.94423948456,70.3388818877764,8.01398217322382,0.0151785714285714,183436.769230769
"20","Coronary heart disease","ASYLL per 100000",2015,51400,672.369876899863,475.717957288906,910.699210457629,113.132897996894,16.8259914496055,0.00279761904761905,32447.6923076923
"21","Coronary heart disease","ASYLL per 100000",2015,51470,950.152357044867,502.530300894754,1508.72130956006,266.433746111022,28.0411603608158,0.361904761904762,1152.46153846154
"22","Coronary heart disease","ASYLL per 100000",2015,51540,1804.6236817505,1278.22910402857,2390.46266655813,289.437106711268,16.0386406117929,0.999523809523809,11503.6923076923
"23","Coronary heart disease","ASYLL per 100000",2015,51610,916.84504039747,483.734823517718,1459.44542064922,259.922613602094,28.3496776608414,0.317678571428571,2688.76923076923
"24","Coronary heart disease","ASYLL per 100000",2015,51680,948.896997336383,639.688819392301,1323.58668078392,177.552018094563,18.7114111007795,0.303392857142857,10260.6153846154
"25","Coronary heart disease","ASYLL per 100000",2015,51750,1325.29482457023,1043.06441358428,1622.60485319768,148.771917503124,11.2255714536098,0.983333333333333,20584.1538461538
"26","Coronary heart disease","ASYLL per 100000",2015,51820,1001.59890515398,844.697078489971,1151.54008822221,77.9608485717562,7.78363955577318,0.298869047619048,205608.461538462
"27","Coronary heart disease","ASYLL per 100000",2015,51890,1320.90238907362,994.632461095961,1684.60007692225,177.625507658001,13.4472849112321,0.958571428571429,18115.2307692308
"28","Coronary heart disease","ASYLL per 100000",2015,51960,1454.02408285338,899.244406133878,2119.65053573755,321.349582176005,22.1007056186709,0.933154761904762,7716
"29","Coronary heart disease","ASYLL per 100000",2015,52030,1085.99731845629,621.652813117224,1616.62577738742,256.557669041498,23.6241530877983,0.572916666666667,2141.23076923077
"30","Coronary heart disease","ASYLL per 100000",2015,52100,1271.89798364669,831.452391726578,1823.67328925615,258.727967288748,20.3418804507372,0.841071428571429,2295.53846153846
"31","Coronary heart disease","ASYLL per 100000",2015,52170,1096.75004134386,822.74408848937,1422.81422324118,153.979314899448,14.0395996439421,0.643809523809524,16421.6923076923
"32","Coronary heart disease","ASYLL per 100000",2015,52240,1226.38032259946,743.370188746654,1807.95768528859,280.320739456514,22.8575698982466,0.771488095238095,2197.84615384615
"33","Coronary heart disease","ASYLL per 100000",2015,52310,1145.85635117545,683.157379150435,1721.19906632347,273.456623926608,23.8648259571183,0.662857142857143,1750.30769230769
"34","Coronary heart disease","ASYLL per 100000",2015,52380,1684.45849608897,890.526897828756,2680.52160863564,480.65553296441,28.5347210442056,0.967738095238095,462.769230769231
"35","Coronary heart disease","ASYLL per 100000",2015,52450,1128.48402114901,718.260547263036,1637.94972771232,240.914059757085,21.3484688522032,0.646845238095238,2779.69230769231
"36","Coronary heart disease","ASYLL per 100000",2015,52520,1335.95636263359,843.520501298197,1953.92771698475,289.790735850065,21.6916318493216,0.883928571428571,2765.84615384615
"37","Coronary heart disease","ASYLL per 100000",2015,52590,877.755245040875,569.239313193394,1251.57329234873,177.55984368253,20.2288559009706,0.192559523809524,6545.07692307692
"38","Coronary heart disease","ASYLL per 100000",2015,52660,1035.61600023052,780.011963683499,1310.78757609002,136.211959912685,13.1527477252539,0.482678571428571,27170.6153846154
"39","Coronary heart disease","ASYLL per 100000",2015,52730,1247.29093517265,904.935566587515,1635.79678904398,188.839642912023,15.1399835905873,0.88202380952381,11518.7692307692
"40","Coronary heart disease","ASYLL per 100000",2015,52800,2400.07536964501,1685.20808348923,3221.14320247462,399.570493144584,16.6482477258072,1,17311.6923076923
"41","Coronary heart disease","ASYLL per 100000",2015,52870,935.022940697417,657.11972161078,1246.792019111,151.447922339039,16.1972413453382,0.247619047619048,11494
"42","Coronary heart disease","ASYLL per 100000",2015,52940,1218.50654268502,719.876381187191,1882.82946841862,304.403372157476,24.981677282316,0.745654761904762,1396
"43","Coronary heart disease","ASYLL per 100000",2015,53010,1141.25674169909,664.765454696892,1721.65334896098,278.01803889115,24.3606919225941,0.651369047619048,1311.69230769231
"44","Coronary heart disease","ASYLL per 100000",2015,53080,1477.44974214657,858.202393774723,2205.29832999192,356.414214553329,24.1236100549518,0.933095238095238,1914.15384615385
"45","Coronary heart disease","ASYLL per 100000",2015,53150,1198.59424823356,882.068621887788,1572.23494951705,178.125704524433,14.8612180299504,0.829107142857143,15224.9230769231
"46","Coronary heart disease","ASYLL per 100000",2015,53220,1770.60468919768,1204.04930846113,2415.05663410932,315.019913951024,17.7916570464845,0.9975,22727.2307692308
"47","Coronary heart disease","ASYLL per 100000",2015,53290,1385.28907528144,1072.98472221096,1723.96163258623,167.775141510655,12.111200795875,0.991130952380952,28399.6923076923
"48","Coronary heart disease","ASYLL per 100000",2015,53360,1121.5183027917,618.901583598031,1726.85845264754,291.170941186051,25.962210376885,0.61172619047619,5278.92307692308
"49","Coronary heart disease","ASYLL per 100000",2015,53430,1086.67846846345,891.320805827502,1293.04105545117,102.730170628485,9.4535940123801,0.675595238095238,59425.2307692308
"50","Coronary heart disease","ASYLL per 100000",2015,53570,871.010981433644,590.585338878052,1202.28438884617,157.94169239203,18.1331459371575,0.15827380952381,10231.8461538462
"51","Coronary heart disease","ASYLL per 100000",2015,53640,1129.4190646914,677.231393721003,1669.41833653287,258.000714607749,22.8436656218695,0.644702380952381,2546.46153846154
"52","Coronary heart disease","ASYLL per 100000",2015,53710,1133.54907604521,717.325109355145,1666.54733706806,249.415847666893,22.0030921411068,0.653154761904762,2040.92307692308
"53","Coronary heart disease","ASYLL per 100000",2015,53780,968.567391382089,831.790841321736,1117.17921690297,72.7751889251831,7.5136938918971,0.16077380952381,234722.615384615
"54","Coronary heart disease","ASYLL per 100000",2015,53800,1260.5073361348,1043.42554690213,1493.29553476933,114.634025001526,9.0942767023505,0.981309523809524,77439.5384615385
"55","Coronary heart disease","ASYLL per 100000",2015,53920,2474.23218101802,1527.02120905436,3617.00983450382,547.99538142409,22.1480985344964,0.999821428571429,7394.46153846154
"56","Coronary heart disease","ASYLL per 100000",2015,53990,936.286030265294,729.150539023271,1150.99966839132,109.291400993675,11.6728646440135,0.170714285714286,51247.5384615385
"57","Coronary heart disease","ASYLL per 100000",2015,54060,1034.72636957366,684.15571704432,1404.81344931162,186.178271584361,17.9929957386774,0.484047619047619,7220.15384615385
"58","Coronary heart disease","ASYLL per 100000",2015,54130,963.531442154275,560.371118564941,1488.62544904962,242.503770942137,25.1682259999678,0.377857142857143,2234.46153846154
"59","Coronary heart disease","ASYLL per 100000",2015,54170,852.242055033751,745.492979813579,974.033821017492,58.2704228655184,6.8373090158301,0.00226190476190476,322492.769230769
"60","Coronary heart disease","ASYLL per 100000",2015,54200,841.314378952213,700.508696420626,990.374664376477,73.9920046661956,8.79481042013646,0.00660714285714286,115452.307692308
"61","Coronary heart disease","ASYLL per 100000",2015,54280,1759.38101232455,1386.40473364434,2161.53666834438,196.99039608519,11.1965739487503,1,62560.7692307692
"62","Coronary heart disease","ASYLL per 100000",2015,54310,1756.26802492162,1235.41981422333,2323.59231280188,280.394750526436,15.9653735390957,0.999523809523809,45800.6153846154
"63","Coronary heart disease","ASYLL per 100000",2015,54340,1299.95410781032,901.549324165001,1733.31076801701,215.452449967902,16.5738504669843,0.912202380952381,8487.23076923077
"64","Coronary heart disease","ASYLL per 100000",2015,54410,2304.00227985739,1510.25020412602,3196.46652567223,438.249345342535,19.0212201252536,1,2440.61538461538
"65","Coronary heart disease","ASYLL per 100000",2015,54480,1213.98158863226,699.9599214939,1906.21757579748,314.67368545981,25.9207955381217,0.733452380952381,1107.53846153846
"66","Coronary heart disease","ASYLL per 100000",2015,54550,1341.38466526724,905.556243836093,1866.46940176623,249.464064754489,18.5975038491132,0.914821428571429,4038.61538461538
"67","Coronary heart disease","ASYLL per 100000",2015,54620,1358.00567315591,832.99550281798,2005.58845988462,308.595150078448,22.7241429235928,0.890238095238095,1912.92307692308
"68","Coronary heart disease","ASYLL per 100000",2015,54690,1387.19967148212,784.898995761225,2137.3260221041,357.628063737513,25.7805758673094,0.881428571428571,865.692307692308
"69","Coronary heart disease","ASYLL per 100000",2015,54760,1050.71354021588,604.471845272199,1592.15719190004,258.928800763763,24.6431392433148,0.51797619047619,1626.15384615385
"70","Coronary heart disease","ASYLL per 100000",2015,54830,1291.61741532314,1039.99536373687,1556.69827724982,132.83945740425,10.2847372471373,0.981785714285714,72871.3846153846
"71","Coronary heart disease","ASYLL per 100000",2015,54900,1252.32172973191,760.529343407684,1839.33206528295,279.487253804575,22.3175280895593,0.801428571428571,2690
"72","Coronary heart disease","ASYLL per 100000",2015,54970,2098.1157773343,1191.13809022641,3280.60901686266,551.958156429896,26.3073259537264,0.99702380952381,2473.07692307692
"73","Coronary heart disease","ASYLL per 100000",2015,55040,1859.49097929983,1055.84209050438,2846.51870329234,477.103524216793,25.6577487886734,0.991488095238095,3942.92307692308
"74","Coronary heart disease","ASYLL per 100000",2015,55110,894.464198428774,779.769240977013,1033.12394797833,64.5968025914878,7.22184327835136,0.0163690476190476,157375.692307692
"75","Coronary heart disease","ASYLL per 100000",2015,55180,1321.40002875829,1014.54973617117,1664.3256009322,167.418967913025,12.669817184002,0.968452380952381,18777.3846153846
"76","Coronary heart disease","ASYLL per 100000",2015,55250,2175.47517017594,1279.74219206043,3347.57012415717,552.170732177301,25.3816150028798,0.999523809523809,2449.84615384615
"77","Coronary heart disease","ASYLL per 100000",2015,55320,755.166020216938,653.799099658228,863.857062852748,53.349804263045,7.06464576461201,0,204488
"78","Coronary heart disease","ASYLL per 100000",2015,55390,1600.47941613166,886.148053728771,2464.06322316947,415.501216031527,25.9610471614679,0.956547619047619,920.461538461538
"79","Coronary heart disease","ASYLL per 100000",2015,55460,1187.84320549969,763.317746844075,1610.51289109707,217.9495382632,18.3483423783625,0.763095238095238,6757.84615384615
"80","Coronary heart disease","ASYLL per 100000",2015,55530,1111.85065722224,618.766818917815,1788.14811479455,309.564157396803,27.8422426056924,0.596130952380952,930.307692307692
"81","Coronary heart disease","ASYLL per 100000",2015,55600,1302.54261447236,858.447667882252,1848.1109516238,258.437713273078,19.8410178985021,0.873392857142857,4974
"82","Coronary heart disease","ASYLL per 100000",2015,55670,1089.72640649755,613.74420984209,1665.06055665158,278.085008619394,25.5187914105136,0.57672619047619,1610.92307692308
"83","Coronary heart disease","ASYLL per 100000",2015,55740,995.022197737687,719.95492501492,1295.18675022225,148.479408030162,14.9222206668102,0.379761904761905,18278.7692307692
"84","Coronary heart disease","ASYLL per 100000",2015,55810,1624.78029297848,862.315432495867,2631.34421279122,474.620691547502,29.2113766765012,0.945595238095238,1158.30769230769
"85","Coronary heart disease","ASYLL per 100000",2015,55880,1214.1629497404,725.57373018933,1834.94439728022,288.738839931494,23.7808969540069,0.747916666666667,1061.23076923077
"86","Coronary heart disease","ASYLL per 100000",2015,55950,1238.65868464677,700.126287507336,1906.44151739187,317.34770514337,25.6202704648915,0.755952380952381,1071.23076923077
"87","Coronary heart disease","ASYLL per 100000",2015,56090,849.295509626214,686.346932173317,1018.48185751485,84.7996769318289,9.98470802808675,0.0173214285714286,77552.6153846154
